行号,技能,开始秒,施展秒,结束秒,本行起始战意,主要技能前战意,主要技能后战意,龙驭前,龙驭后,施展前马上,结算后马上,激雷,橙武,驰骋,流血层数,流血品质,灭来源,非GCD动作JSON,本行伤害,伤害明细JSON
70,龙牙,84.0075,84.0075,85.225,3,3,2,0,0,1,1,1,0,1,2,2,,[],17630132.687151898,"{""dragonFang"":8183594.6067008,""dragonBlood"":2578453.084587848,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725}"
71,灭·破楼兰,85.225,85.225,86.4425,2,2,5,0,0,1,1,1,0,0,2,2,poLouLanBonus,[],11777921.948453154,"{""destroy"":3771466.384845193,""breakArmy"":1191465.7879272723,""destroyPoLouLan"":3645454.658075708,""destroyStrain"":564636.1597970189,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
72,龙牙,86.4425,86.4425,87.66,5,5,4,0,0,1,1,1,0,1,2,2,,[],20344388.289588254,"{""dragonFang"":8811155.318379693,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091}"
73,龙牙,87.66,87.66,88.8775,4,4,3,0,0,1,1,1,0,0,2,2,,[],16910901.183751542,"{""dragonFang"":6998278.799870527,""dragonBlood"":2228117.3213662216,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035,""bleedTick"":1841621.3007848305}"
74,龙牙,88.8775,88.8775,90.095,3,3,2,0,0,1,1,1,0,0,2,2,,[],14728579.152352858,"{""dragonFang"":6739855.178250027,""dragonBlood"":2145840.212372868,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035}"
75,龙牙,90.095,90.095,91.3125,2,2,1,0,0,1,1,1,0,0,2,2,,[],16222819.316041209,"{""dragonFang"":6476364.42679383,""dragonBlood"":2061949.8267325847,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""bleedTick"":1841621.3007848305,""autoAttack"":323516.0942473035}"
76,下马→穿云,91.3125,91.3125,92.53,1,1,2,0,0,1,0,0,0,0,2,2,,"[{""action"":""dismount"",""seconds"":91.3125,""rageBefore"":null,""rageAfter"":null,""mounted"":null,""thunder"":null,""orange"":null,""reason"":""thunder-ended"",""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null}]",3987025.6209645136,"{""cloudStrike"":2012970.6101515128,""breakArmy"":630970.9242958768,""bleedTick"":1142399.6777989056,""autoAttack"":200684.40871821836}"
77,灭·正常,92.53,92.53,93.7475,2,2,5,0,0,0,0,0,0,0,2,2,normal,[],6134184.638694813,"{""destroy"":1944182.7617787733,""breakArmy"":630970.9242958768,""destroyPoLouLan"":1865690.183716256,""destroyStrain"":350256.68238678254,""bleedTick"":1142399.6777989056,""autoAttack"":200684.40871821836}"
78,雷→龙牙,93.7475,93.7475,94.965,5,5,4,0,1,0,0,1,0,0,2,2,,"[{""action"":""thunder"",""seconds"":93.7475,""rageBefore"":5,""rageAfter"":null,""mounted"":false,""thunder"":null,""orange"":null,""reason"":null,""dragonRideStacksAtStart"":0,""chargeReadyAtStart"":false}]",15409980.61358057,"{""dragonFang"":7256702.421491029,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035}"
79,龙牙,94.965,94.965,96.1825,4,4,3,1,2,0,0,1,0,0,2,2,,[],16587385.089504238,"{""dragonFang"":6998278.799870527,""dragonBlood"":2228117.3213662216,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""bleedTick"":1841621.3007848305}"
80,龙牙,96.1825,96.1825,97.4,3,3,2,2,3,0,0,1,0,0,2,2,,[],16570200.453137688,"{""dragonFang"":6739855.178250027,""dragonBlood"":2145840.212372868,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035,""bleedTick"":1841621.3007848305}"
81,灭·破楼兰,97.4,97.4,98.6175,2,2,5,3,3,0,0,1,0,0,2,2,poLouLanBonus,[],9863296.516708255,"{""destroy"":3121184.614067377,""breakArmy"":1017165.4605138343,""destroyPoLouLan"":2995172.887297891,""destroyStrain"":564636.1597970189,""autoAttack"":323516.0942473035,""bleedTick"":1841621.3007848305}"
82,龙牙,98.6175,98.6175,99.835,5,5,4,3,4,0,0,1,0,0,2,2,,[],15409980.61358057,"{""dragonFang"":7256702.421491029,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035}"
83,龙牙,99.835,99.835,101.0525,4,4,3,4,5,0,0,1,0,0,2,2,,[],16910901.183751542,"{""dragonFang"":6998278.799870527,""dragonBlood"":2228117.3213662216,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""bleedTick"":1841621.3007848305,""autoAttack"":323516.0942473035}"
84,龙吟,101.0525,101.0525,102.27,3,3,5,5,5,0,0,1,0,0,2,1,,[],8050144.852123035,"{""dragonRoar"":5173972.634297574,""breakArmy"":1017165.4605138343,""bleedTick"":1535490.6630643231,""autoAttack"":323516.0942473035}"
85,龙牙,102.27,102.27,103.4875,5,5,4,5,6,0,0,1,0,0,2,1,,[],16621955.18239759,"{""dragonFang"":7256702.421491029,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""bleedTick"":1535490.6630643231}"
86,龙牙,103.4875,103.4875,104.705,4,4,3,6,7,0,0,1,0,0,2,1,,[],15069279.882966712,"{""dragonFang"":6998278.799870527,""dragonBlood"":2228117.3213662216,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035}"
87,龙牙,104.705,104.705,105.9225,3,3,2,7,8,0,0,1,0,0,2,1,,[],16264069.815417182,"{""dragonFang"":6739855.178250027,""dragonBlood"":2145840.212372868,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""bleedTick"":1535490.6630643231,""autoAttack"":323516.0942473035}"
88,灭·正常,105.9225,105.9225,107.14,2,2,5,8,8,0,0,1,0,0,2,2,normal,[],9863296.516708255,"{""destroy"":3121184.614067377,""breakArmy"":1017165.4605138343,""destroyPoLouLan"":2995172.887297891,""destroyStrain"":564636.1597970189,""autoAttack"":323516.0942473035,""bleedTick"":1841621.3007848305}"
89,龙牙,107.14,107.14,108.3575,5,5,4,8,9,0,0,1,0,0,2,2,,[],17251601.9143654,"{""dragonFang"":7256702.421491029,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035,""bleedTick"":1841621.3007848305}"
90,龙牙,108.3575,108.3575,109.575,4,4,3,9,10,0,0,1,0,0,2,2,,[],15069279.882966712,"{""dragonFang"":6998278.799870527,""dragonBlood"":2228117.3213662216,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035}"
91,CW→龙牙,109.575,109.575,110.7925,3,5,5,10,11,0,0,1,1,0,2,2,,"[{""action"":""orange"",""seconds"":109.575,""rageBefore"":null,""rageAfter"":5,""mounted"":null,""thunder"":null,""orange"":null,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null}]",22698754.179886367,"{""dragonFang"":7256702.421491029,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""orangeExtra"":5447152.265520969,""bleedTick"":1841621.3007848305,""autoAttack"":323516.0942473035}"
92,龙牙,110.7925,110.7925,112.01,5,5,5,11,12,0,0,1,1,0,2,2,,[],22375238.085639063,"{""dragonFang"":7256702.421491029,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""orangeExtra"":5447152.265520969,""bleedTick"":1841621.3007848305}"
93,龙牙,112.01,112.01,113.2275,5,5,5,12,13,0,0,0,1,0,2,2,,[],14113218.609207122,"{""dragonFang"":4526273.727421053,""dragonBlood"":1441078.46825112,""dragonFangStrain"":350256.68238678254,""breakGang"":1756238.1099026103,""breakArmy"":1261941.8485917535,""dragonFangDivine"":55352.95272248696,""orangeExtra"":3378992.7334141918,""autoAttack"":200684.40871821836,""bleedTick"":1142399.6777989056}"
94,龙牙,113.2275,113.2275,114.445,5,5,5,13,14,0,0,0,1,0,2,2,,[],12970818.931408215,"{""dragonFang"":4526273.727421053,""dragonBlood"":1441078.46825112,""dragonFangStrain"":350256.68238678254,""breakGang"":1756238.1099026103,""breakArmy"":1261941.8485917535,""dragonFangDivine"":55352.95272248696,""orangeExtra"":3378992.7334141918,""autoAttack"":200684.40871821836}"
95,龙牙,114.445,114.445,115.6625,5,5,5,14,15,0,0,0,1,0,2,2,,[],14113218.609207122,"{""dragonFang"":4526273.727421053,""dragonBlood"":1441078.46825112,""dragonFangStrain"":350256.68238678254,""breakGang"":1756238.1099026103,""breakArmy"":1261941.8485917535,""dragonFangDivine"":55352.95272248696,""orangeExtra"":3378992.7334141918,""bleedTick"":1142399.6777989056,""autoAttack"":200684.40871821836}"
96,龙牙,115.6625,115.6625,116.88,5,5,2,15,16,0,0,0,0,0,2,2,,[],10734225.87579293,"{""dragonFang"":4526273.727421053,""dragonBlood"":1441078.46825112,""dragonFangStrain"":350256.68238678254,""breakGang"":1756238.1099026103,""breakArmy"":1261941.8485917535,""dragonFangDivine"":55352.95272248696,""bleedTick"":1142399.6777989056,""autoAttack"":200684.40871821836}"
97,灭·正常,116.88,116.88,118.0975,2,2,5,16,16,0,0,0,0,0,2,2,normal,[],6134184.638694813,"{""destroy"":1944182.7617787733,""breakArmy"":630970.9242958768,""destroyPoLouLan"":1865690.183716256,""destroyStrain"":350256.68238678254,""bleedTick"":1142399.6777989056,""autoAttack"":200684.40871821836}"
98,龙牙,118.0975,118.0975,119.315,5,5,2,16,17,0,0,0,0,0,2,2,,[],9591826.197994024,"{""dragonFang"":4526273.727421053,""dragonBlood"":1441078.46825112,""dragonFangStrain"":350256.68238678254,""breakGang"":1756238.1099026103,""breakArmy"":1261941.8485917535,""dragonFangDivine"":55352.95272248696,""autoAttack"":200684.40871821836}"
99,灭·破楼兰,119.315,119.315,120.5325,2,2,5,17,17,0,0,0,0,0,2,2,poLouLanBonus,[],5933500.229976594,"{""destroy"":1944182.7617787733,""breakArmy"":630970.9242958768,""destroyPoLouLan"":1865690.183716256,""destroyStrain"":350256.68238678254,""bleedTick"":1142399.6777989056}"
100,龙牙,120.5325,120.5325,121.75,5,5,2,17,18,0,0,0,0,0,2,2,,[],10734225.87579293,"{""dragonFang"":4526273.727421053,""dragonBlood"":1441078.46825112,""dragonFangStrain"":350256.68238678254,""breakGang"":1756238.1099026103,""breakArmy"":1261941.8485917535,""dragonFangDivine"":55352.95272248696,""autoAttack"":200684.40871821836,""bleedTick"":1142399.6777989056}"
101,穿云,121.75,121.75,122.9675,2,2,3,18,18,0,0,0,0,0,2,2,,[],4070686.6225067247,"{""cloudStrike"":2096631.6116937238,""breakArmy"":630970.9242958768,""autoAttack"":200684.40871821836,""bleedTick"":1142399.6777989056}"
102,龙牙,122.9675,122.9675,124.185,3,3,0,18,19,0,0,0,0,0,2,2,,[],9166810.901425257,"{""dragonFang"":4203896.983509999,""dragonBlood"":1338439.9155934071,""dragonFangStrain"":350256.68238678254,""breakGang"":1756238.1099026103,""breakArmy"":1261941.8485917535,""dragonFangDivine"":55352.95272248696,""autoAttack"":200684.40871821836}"
103,穿云,124.185,124.185,125.4025,0,0,1,19,19,0,0,0,0,0,2,2,,[],3903364.619422302,"{""cloudStrike"":1929309.6086093015,""breakArmy"":630970.9242958768,""bleedTick"":1142399.6777989056,""autoAttack"":200684.40871821836}"
104,穿云,125.4025,125.4025,126.62,1,1,2,19,19,0,0,0,0,0,2,2,,[],3987025.6209645136,"{""cloudStrike"":2012970.6101515128,""breakArmy"":630970.9242958768,""bleedTick"":1142399.6777989056,""autoAttack"":200684.40871821836}"
105,灭·正常,126.62,126.62,127.8375,2,2,5,19,19,0,0,0,0,0,2,2,normal,[],5933500.229976594,"{""destroy"":1944182.7617787733,""breakArmy"":630970.9242958768,""destroyPoLouLan"":1865690.183716256,""destroyStrain"":350256.68238678254,""bleedTick"":1142399.6777989056}"
106,任驰骋→雷,127.8375,127.8375,129.055,5,5,5,19,25,0,1,0,0,0,2,2,,"[{""action"":""thunder"",""seconds"":128.9925,""rageBefore"":5,""rageAfter"":null,""mounted"":true,""thunder"":null,""orange"":null,""reason"":null,""dragonRideStacksAtStart"":25,""chargeReadyAtStart"":true}]",200684.40871821836,"{""autoAttack"":200684.40871821836}"
107,龙牙,129.055,129.055,130.2725,5,5,4,25,24,1,1,1,0,1,2,2,,[],24669095.75970411,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
108,龙牙,130.2725,130.2725,131.49,4,4,3,24,23,1,1,1,0,1,2,2,,[],24115188.343964543,"{""dragonFang"":12322853.33923073,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
109,龙牙,131.49,131.49,132.7075,3,3,2,23,22,1,1,1,0,1,2,2,,[],23561280.928224973,"{""dragonFang"":11867810.538037783,""dragonBlood"":2578453.084587848,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
110,灭·破楼兰,132.7075,132.7075,133.925,2,2,5,22,22,1,1,1,0,0,2,2,poLouLanBonus,[],9530989.638717063,"{""destroy"":3771466.384845193,""breakArmy"":1191465.7879272723,""destroyPoLouLan"":3645454.658075708,""destroyStrain"":564636.1597970189,""autoAttack"":357966.6480718725}"
111,龙牙,133.925,133.925,135.1425,5,5,4,22,21,1,1,1,0,1,2,2,,[],24669095.75970411,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
112,龙牙,135.1425,135.1425,136.36,4,4,3,21,20,1,1,1,0,1,2,2,,[],23757221.69589267,"{""dragonFang"":12322853.33923073,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091}"
113,龙牙,136.36,136.36,137.5775,3,3,2,20,19,1,1,1,0,1,2,2,,[],23561280.928224973,"{""dragonFang"":11867810.538037783,""dragonBlood"":2578453.084587848,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
114,断魂刺→龙牙,137.5775,137.5775,138.795,2,5,4,19,18,1,1,1,0,1,2,2,,"[{""action"":""charge"",""seconds"":137.5775,""rageBefore"":2,""rageAfter"":5,""mounted"":true,""thunder"":true,""orange"":false,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null}]",25079024.70906857,"{""charge"":273929.6832460043,""breakArmy"":4765863.151709089,""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725}"
115,龙牙,138.795,138.795,140.0125,4,4,3,18,17,1,1,1,0,1,2,2,,[],24115188.343964543,"{""dragonFang"":12322853.33923073,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
116,龙牙,140.0125,140.0125,141.23,3,3,2,17,16,1,1,1,0,1,2,2,,[],23561280.928224973,"{""dragonFang"":11867810.538037783,""dragonBlood"":2578453.084587848,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
117,灭·正常,141.23,141.23,142.4475,2,2,5,16,16,1,1,1,0,0,2,2,normal,[],11777921.948453154,"{""destroy"":3771466.384845193,""breakArmy"":1191465.7879272723,""destroyPoLouLan"":3645454.658075708,""destroyStrain"":564636.1597970189,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
118,龙牙,142.4475,142.4475,143.665,5,5,4,16,15,1,1,1,0,1,2,2,,[],22064196.801896144,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347}"
119,龙牙,143.665,143.665,144.8825,4,4,3,15,14,1,1,1,0,0,2,2,,[],20061493.49502138,"{""dragonFang"":10148871.111140365,""dragonBlood"":2228117.3213662216,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035,""bleedTick"":1841621.3007848305}"
120,龙牙,144.8825,144.8825,146.1,3,3,2,14,13,1,1,1,0,0,2,2,,[],19604451.661314704,"{""dragonFang"":9774106.386427041,""dragonBlood"":2145840.212372868,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035,""bleedTick"":1841621.3007848305}"
121,龙牙,146.1,146.1,147.3175,2,2,1,13,12,1,1,1,0,0,2,2,,[],18439226.600039616,"{""dragonFang"":9391993.333778162,""dragonBlood"":2061949.8267325847,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035,""bleedTick"":1142399.6777989056}"
122,下马→灭·破楼兰,147.3175,147.3175,148.535,1,1,4,12,12,1,0,0,0,0,2,2,poLouLanBonus,"[{""action"":""dismount"",""seconds"":147.3175,""rageBefore"":null,""rageAfter"":null,""mounted"":null,""thunder"":null,""orange"":null,""reason"":""thunder-ended"",""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null}]",4833442.963868588,"{""destroy"":1863380.6496111874,""breakArmy"":630970.9242958768,""destroyPoLouLan"":1788150.298856523,""destroyStrain"":350256.68238678254,""autoAttack"":200684.40871821836}"
123,穿云,148.535,148.535,149.7525,4,4,5,12,12,0,0,0,0,0,2,2,,[],4239649.037386092,"{""cloudStrike"":2265594.0265730917,""breakArmy"":630970.9242958768,""bleedTick"":1142399.6777989056,""autoAttack"":200684.40871821836}"
124,龙牙,149.7525,149.7525,150.97,5,5,2,12,13,0,0,0,0,0,2,2,,[],10734225.87579293,"{""dragonFang"":4526273.727421053,""dragonBlood"":1441078.46825112,""dragonFangStrain"":350256.68238678254,""breakGang"":1756238.1099026103,""breakArmy"":1261941.8485917535,""dragonFangDivine"":55352.95272248696,""bleedTick"":1142399.6777989056,""autoAttack"":200684.40871821836}"
125,龙吟,150.97,150.97,152.1875,2,2,4,13,13,0,0,0,0,0,2,1,,[],4672162.49698808,"{""dragonRoar"":3088691.708577709,""breakArmy"":630970.9242958768,""bleedTick"":952499.8641144952}"
126,龙牙,152.1875,152.1875,153.405,4,4,1,13,14,0,0,0,0,0,2,1,,[],9379318.54970964,"{""dragonFang"":4365085.355465526,""dragonBlood"":1389759.1919222635,""dragonFangStrain"":350256.68238678254,""breakGang"":1756238.1099026103,""breakArmy"":1261941.8485917535,""dragonFangDivine"":55352.95272248696,""autoAttack"":200684.40871821836}"
127,穿云,153.405,153.405,154.6225,1,1,2,14,14,0,0,0,0,0,2,1,,[],3797125.807280103,"{""cloudStrike"":2012970.6101515128,""breakArmy"":630970.9242958768,""bleedTick"":952499.8641144952,""autoAttack"":200684.40871821836}"
128,灭·正常,154.6225,154.6225,155.84,2,2,5,14,14,0,0,0,0,0,2,2,normal,[],6134184.638694813,"{""destroy"":1944182.7617787733,""breakArmy"":630970.9242958768,""destroyPoLouLan"":1865690.183716256,""destroyStrain"":350256.68238678254,""bleedTick"":1142399.6777989056,""autoAttack"":200684.40871821836}"
129,任驰骋→雷,155.84,155.84,157.0575,5,5,5,14,20,0,1,0,0,0,2,2,,"[{""action"":""thunder"",""seconds"":156.995,""rageBefore"":5,""rageAfter"":null,""mounted"":true,""thunder"":null,""orange"":null,""reason"":null,""dragonRideStacksAtStart"":20,""chargeReadyAtStart"":true}]",1615878.2095050337,"{""autoAttack"":222054.87265258387,""bleedTick"":1393823.3368524497}"
130,龙牙,157.0575,157.0575,158.275,5,5,4,20,19,1,1,1,0,1,2,2,,[],22422163.449968018,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725}"
131,龙牙,158.275,158.275,159.4925,4,4,3,19,18,1,1,1,0,1,2,2,,[],23757221.69589267,"{""dragonFang"":12322853.33923073,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091}"
132,龙牙,159.4925,159.4925,160.71,3,3,2,18,17,1,1,1,0,1,2,2,,[],23561280.928224973,"{""dragonFang"":11867810.538037783,""dragonBlood"":2578453.084587848,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
133,灭·破楼兰,160.71,160.71,161.9275,2,2,5,17,17,1,1,1,0,0,2,2,poLouLanBonus,[],11777921.948453154,"{""destroy"":3771466.384845193,""breakArmy"":1191465.7879272723,""destroyPoLouLan"":3645454.658075708,""destroyStrain"":564636.1597970189,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
134,龙牙,161.9275,161.9275,163.145,5,5,4,17,16,1,1,1,0,1,2,2,,[],22422163.449968018,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725}"
135,CW→龙牙,163.145,163.145,164.3625,4,5,5,16,15,1,1,1,1,1,2,2,,"[{""action"":""orange"",""seconds"":163.145,""rageBefore"":null,""rageAfter"":5,""mounted"":null,""thunder"":null,""orange"":null,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null}]",31314297.334144723,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""orangeExtra"":6645201.574440612,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
136,龙牙,164.3625,164.3625,165.58,5,5,5,15,14,1,1,1,1,1,2,2,,[],31314297.334144723,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""orangeExtra"":6645201.574440612,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
137,龙牙,165.58,165.58,166.7975,5,5,5,14,13,1,1,1,1,1,2,2,,[],31314297.334144723,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""orangeExtra"":6645201.574440612,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
138,龙牙,166.7975,166.7975,168.015,5,5,5,13,12,1,1,1,1,1,2,2,,[],28709398.376336757,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""orangeExtra"":6645201.574440612}"
139,龙牙,168.015,168.015,169.2325,5,5,5,12,11,1,1,1,1,1,2,2,,[],31314297.334144723,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""orangeExtra"":6645201.574440612,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
140,龙牙,169.2325,169.2325,170.45,5,5,4,11,10,1,1,1,0,1,2,2,,[],24669095.75970411,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
141,龙牙,170.45,170.45,171.6675,4,4,3,10,9,1,1,1,0,1,2,2,,[],23709877.33501328,"{""dragonFang"":12322853.33923073,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725,""bleedTick"":1841621.3007848305}"
142,龙牙,171.6675,171.6675,172.885,3,3,2,9,8,1,1,1,0,0,2,2,,[],17762830.360529874,"{""dragonFang"":9774106.386427041,""dragonBlood"":2145840.212372868,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035}"
