行号,技能,主要技能ID,开始秒,施展秒,结束秒,本行起始战意,主要技能前战意,主要技能后战意,龙驭前,龙驭后,施展前马上,结算后马上,激雷,橙武,驰骋,流血层数,流血品质,灭来源,非GCD动作JSON,本行伤害,伤害明细JSON
61,龙牙,dragonFang,73.05,73.05,74.2675,4,4,3,16,15,1,1,1,0,1,2,2,,[],24115188.343964543,"{""dragonFang"":12322853.33923073,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
62,龙牙,dragonFang,74.2675,74.2675,75.485,3,3,2,15,14,1,1,1,0,1,2,2,,[],23561280.928224973,"{""dragonFang"":11867810.538037783,""dragonBlood"":2578453.084587848,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
63,断魂刺→龙牙,dragonFang,75.485,75.485,76.7025,2,5,4,14,13,1,1,1,0,1,2,2,,"[{""action"":""charge"",""seconds"":75.485,""rageBefore"":2,""rageAfter"":5,""mounted"":true,""thunder"":true,""orange"":false,""ride"":true,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null,""breakArmyWindow"":null,""activeUntilSeconds"":null}]",27325957.018804662,"{""charge"":273929.6832460043,""breakArmy"":4765863.151709089,""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
64,龙牙,dragonFang,76.7025,76.7025,77.92,4,4,3,13,12,1,1,1,0,1,2,2,,[],21868256.03422845,"{""dragonFang"":12322853.33923073,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725}"
65,龙牙,dragonFang,77.92,77.92,79.1375,3,3,2,12,11,1,1,1,0,1,2,2,,[],23561280.928224973,"{""dragonFang"":11867810.538037783,""dragonBlood"":2578453.084587848,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
66,灭·正常,destroy,79.1375,79.1375,80.355,2,2,5,11,11,1,1,1,0,1,2,2,normal,[],11419955.300381282,"{""destroy"":3771466.384845193,""breakArmy"":1191465.7879272723,""destroyPoLouLan"":3645454.658075708,""destroyStrain"":564636.1597970189,""bleedTick"":2246932.309736091}"
67,龙牙,dragonFang,80.355,80.355,81.5725,5,5,4,11,10,1,1,1,0,1,2,2,,[],24669095.75970411,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
68,龙牙,dragonFang,81.5725,81.5725,82.79,4,4,3,10,9,1,1,1,0,1,2,2,,[],21868256.03422845,"{""dragonFang"":12322853.33923073,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725}"
69,龙牙,dragonFang,82.79,82.79,84.0075,3,3,2,9,8,1,1,1,0,1,2,2,,[],23561280.928224973,"{""dragonFang"":11867810.538037783,""dragonBlood"":2578453.084587848,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
70,灭·破楼兰,destroy,84.0075,84.0075,85.225,2,2,5,8,8,1,1,1,0,1,2,2,poLouLanBonus,[],11777921.948453154,"{""destroy"":3771466.384845193,""breakArmy"":1191465.7879272723,""destroyPoLouLan"":3645454.658075708,""destroyStrain"":564636.1597970189,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
71,龙牙,dragonFang,85.225,85.225,86.4425,5,5,4,8,7,1,1,1,0,1,2,2,,[],24634645.20587954,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":323516.0942473035}"
72,龙牙,dragonFang,86.4425,86.4425,87.66,4,4,3,7,6,1,1,1,0,0,2,2,,[],17896356.099989247,"{""dragonFang"":10148871.111140365,""dragonBlood"":2228117.3213662216,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235}"
73,龙牙,dragonFang,87.66,87.66,88.8775,3,3,2,6,5,1,1,1,0,0,2,2,,[],19604451.661314704,"{""dragonFang"":9774106.386427041,""dragonBlood"":2145840.212372868,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035,""bleedTick"":1841621.3007848305}"
74,龙牙,dragonFang,88.8775,88.8775,90.095,2,2,1,5,4,1,1,1,0,0,2,2,,[],19138448.22302554,"{""dragonFang"":9391993.333778162,""dragonBlood"":2061949.8267325847,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035,""bleedTick"":1841621.3007848305}"
75,龙吟,dragonRoar,90.095,90.095,91.3125,1,1,3,4,4,1,1,0,0,0,2,1,,[],4754329.308469101,"{""dragonRoar"":2970174.1113405107,""breakArmy"":630970.9242958768,""autoAttack"":200684.40871821836,""bleedTick"":952499.8641144952}"
76,灭·正常,destroy,91.3125,91.3125,92.53,3,3,5,4,4,1,1,0,0,0,2,2,normal,[],5153231.702962975,"{""destroy"":2026569.2290868987,""breakArmy"":630970.9242958768,""destroyPoLouLan"":1944750.4584751984,""destroyStrain"":350256.68238678254,""autoAttack"":200684.40871821836}"
77,龙牙,dragonFang,92.53,92.53,93.7475,5,5,2,4,3,1,1,0,0,0,2,2,,[],12771933.090969792,"{""dragonFang"":6563980.942597914,""dragonBlood"":1441078.46825112,""dragonFangStrain"":350256.68238678254,""breakGang"":1756238.1099026103,""breakArmy"":1261941.8485917535,""dragonFangDivine"":55352.95272248696,""bleedTick"":1142399.6777989056,""autoAttack"":200684.40871821836}"
78,灭·破楼兰,destroy,93.7475,93.7475,94.965,2,2,5,3,3,1,1,0,0,0,2,2,poLouLanBonus,[],6134184.638694813,"{""destroy"":1944182.7617787733,""breakArmy"":630970.9242958768,""destroyPoLouLan"":1865690.183716256,""destroyStrain"":350256.68238678254,""bleedTick"":1142399.6777989056,""autoAttack"":200684.40871821836}"
79,龙牙,dragonFang,94.965,94.965,96.1825,5,5,2,3,2,1,1,0,0,0,2,2,,[],12571248.682251573,"{""dragonFang"":6563980.942597914,""dragonBlood"":1441078.46825112,""dragonFangStrain"":350256.68238678254,""breakGang"":1756238.1099026103,""breakArmy"":1261941.8485917535,""dragonFangDivine"":55352.95272248696,""bleedTick"":1142399.6777989056}"
80,雷→龙牙,dragonFang,96.1825,96.1825,97.4,2,2,1,2,1,1,1,1,0,0,2,2,,"[{""action"":""thunder"",""seconds"":96.1825,""rageBefore"":2,""rageAfter"":null,""mounted"":true,""thunder"":null,""orange"":null,""ride"":false,""reason"":null,""dragonRideStacksAtStart"":2,""chargeReadyAtStart"":false,""breakArmyWindow"":null,""activeUntilSeconds"":114.1825}]",17296826.92224071,"{""dragonFang"":9391993.333778162,""dragonBlood"":2061949.8267325847,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035}"
81,龙牙,dragonFang,97.4,97.4,98.6175,1,1,0,1,0,1,1,1,0,0,2,2,,[],18681406.38931886,"{""dragonFang"":9017228.609064838,""dragonBlood"":1979672.7177392307,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""bleedTick"":1841621.3007848305,""autoAttack"":323516.0942473035}"
82,断魂刺+下马+突→龙牙,dragonFang,98.6175,98.6175,99.835,0,3,2,0,1,1,0,1,0,0,2,2,,"[{""action"":""charge"",""seconds"":98.6175,""rageBefore"":0,""rageAfter"":3,""mounted"":true,""thunder"":true,""orange"":false,""ride"":false,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null,""breakArmyWindow"":null,""activeUntilSeconds"":null},{""action"":""dismount"",""seconds"":98.6175,""rageBefore"":null,""rageAfter"":null,""mounted"":true,""thunder"":true,""orange"":false,""ride"":false,""reason"":""free-search"",""dragonRideStacksAtStart"":0,""chargeReadyAtStart"":null,""breakArmyWindow"":null,""activeUntilSeconds"":null},{""action"":""dash"",""seconds"":98.6175,""rageBefore"":null,""rageAfter"":null,""mounted"":false,""thunder"":true,""orange"":false,""ride"":false,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null,""breakArmyWindow"":true,""activeUntilSeconds"":null}]",19975318.83470395,"{""charge"":251523.390704524,""breakArmy"":5085827.302569171,""dash"":102098.60932023358,""dragonFang"":6739855.178250027,""dragonBlood"":2145840.212372868,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""dragonFangDivine"":89232.49785178235,""bleedTick"":1841621.3007848305,""autoAttack"":323516.0942473035}"
83,龙牙,dragonFang,99.835,99.835,101.0525,2,2,1,1,2,0,0,1,0,0,2,2,,[],16222819.316041209,"{""dragonFang"":6476364.42679383,""dragonBlood"":2061949.8267325847,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035,""bleedTick"":1841621.3007848305}"
84,灭·正常,destroy,101.0525,101.0525,102.27,1,1,4,2,2,0,0,1,0,0,2,2,normal,[],7767473.494460676,"{""destroy"":2991465.168838436,""breakArmy"":1017165.4605138343,""destroyPoLouLan"":2870690.6110640825,""destroyStrain"":564636.1597970189,""autoAttack"":323516.0942473035}"
85,龙牙,dragonFang,102.27,102.27,103.4875,4,4,3,2,3,0,0,1,0,0,2,2,,[],16587385.089504238,"{""dragonFang"":6998278.799870527,""dragonBlood"":2228117.3213662216,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""bleedTick"":1841621.3007848305}"
86,龙牙,dragonFang,103.4875,103.4875,104.705,3,3,2,3,4,0,0,1,0,0,2,2,,[],16570200.453137688,"{""dragonFang"":6739855.178250027,""dragonBlood"":2145840.212372868,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035,""bleedTick"":1841621.3007848305}"
87,龙牙,dragonFang,104.705,104.705,105.9225,2,2,1,4,5,0,0,1,0,0,2,2,,[],16222819.316041209,"{""dragonFang"":6476364.42679383,""dragonBlood"":2061949.8267325847,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035,""bleedTick"":1841621.3007848305}"
88,龙牙,dragonFang,105.9225,105.9225,107.14,1,1,0,5,6,0,0,1,0,0,2,2,,[],14040497.284642525,"{""dragonFang"":6217940.805173329,""dragonBlood"":1979672.7177392307,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035}"
89,CW→龙牙,dragonFang,107.14,107.14,108.3575,0,5,5,6,7,0,0,1,1,0,2,2,,"[{""action"":""orange"",""seconds"":107.14,""rageBefore"":null,""rageAfter"":5,""mounted"":null,""thunder"":null,""orange"":null,""ride"":null,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null,""breakArmyWindow"":null,""activeUntilSeconds"":null}]",22698754.179886367,"{""dragonFang"":7256702.421491029,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""orangeExtra"":5447152.265520969,""bleedTick"":1841621.3007848305,""autoAttack"":323516.0942473035}"
90,龙牙,dragonFang,108.3575,108.3575,109.575,5,5,5,7,8,0,0,1,1,0,2,2,,[],22698754.179886367,"{""dragonFang"":7256702.421491029,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""orangeExtra"":5447152.265520969,""bleedTick"":1841621.3007848305,""autoAttack"":323516.0942473035}"
91,龙牙,dragonFang,109.575,109.575,110.7925,5,5,5,8,9,0,0,1,1,0,2,2,,[],22698754.179886367,"{""dragonFang"":7256702.421491029,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""orangeExtra"":5447152.265520969,""bleedTick"":1841621.3007848305,""autoAttack"":323516.0942473035}"
92,龙牙,dragonFang,110.7925,110.7925,112.01,5,5,5,9,10,0,0,1,1,0,2,2,,[],20533616.784854233,"{""dragonFang"":7256702.421491029,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""orangeExtra"":5447152.265520969}"
93,龙牙,dragonFang,112.01,112.01,113.2275,5,5,5,10,11,0,0,1,1,0,2,2,,[],22698754.179886367,"{""dragonFang"":7256702.421491029,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""orangeExtra"":5447152.265520969,""autoAttack"":323516.0942473035,""bleedTick"":1841621.3007848305}"
94,龙牙,dragonFang,113.2275,113.2275,114.445,5,5,4,11,12,0,0,1,0,0,2,2,,[],17251601.9143654,"{""dragonFang"":7256702.421491029,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035,""bleedTick"":1841621.3007848305}"
95,龙牙,dragonFang,114.445,114.445,115.6625,4,4,1,12,13,0,0,0,0,0,0,0,,[],9379318.54970964,"{""dragonFang"":4365085.355465526,""dragonBlood"":1389759.1919222635,""dragonFangStrain"":350256.68238678254,""breakGang"":1756238.1099026103,""breakArmy"":1261941.8485917535,""dragonFangDivine"":55352.95272248696,""autoAttack"":200684.40871821836}"
96,灭·正常→突,destroy,115.6625,115.6625,116.88,1,1,4,13,13,0,0,0,0,0,1,2,normal,"[{""action"":""dash"",""seconds"":116.8175,""rageBefore"":null,""rageAfter"":null,""mounted"":false,""thunder"":false,""orange"":false,""ride"":false,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null,""breakArmyWindow"":true,""activeUntilSeconds"":null}]",5527747.983149924,"{""destroy"":1863380.6496111874,""breakArmy"":1261941.8485917535,""destroyPoLouLan"":1788150.298856523,""destroyStrain"":350256.68238678254,""autoAttack"":200684.40871821836,""dash"":63334.09498545909}"
97,龙牙,dragonFang,116.88,116.88,118.0975,4,4,1,13,14,0,0,0,0,0,1,2,,[],9950518.388609093,"{""dragonFang"":4365085.355465526,""dragonBlood"":1389759.1919222635,""dragonFangStrain"":350256.68238678254,""breakGang"":1756238.1099026103,""breakArmy"":1261941.8485917535,""dragonFangDivine"":55352.95272248696,""bleedTick"":571199.8388994528,""autoAttack"":200684.40871821836}"
98,灭·破楼兰,destroy,118.0975,118.0975,119.315,1,1,4,14,14,0,0,0,0,0,2,2,poLouLanBonus,[],5975842.641667494,"{""destroy"":1863380.6496111874,""breakArmy"":630970.9242958768,""destroyPoLouLan"":1788150.298856523,""destroyStrain"":350256.68238678254,""bleedTick"":1142399.6777989056,""autoAttack"":200684.40871821836}"
99,穿云,cloudStrike,119.315,119.315,120.5325,4,4,5,14,14,0,0,0,0,0,2,2,,[],2896564.9508689684,"{""cloudStrike"":2265594.0265730917,""breakArmy"":630970.9242958768}"
100,龙牙,dragonFang,120.5325,120.5325,121.75,5,5,2,14,15,0,0,0,0,0,2,2,,[],10734225.87579293,"{""dragonFang"":4526273.727421053,""dragonBlood"":1441078.46825112,""dragonFangStrain"":350256.68238678254,""breakGang"":1756238.1099026103,""breakArmy"":1261941.8485917535,""dragonFangDivine"":55352.95272248696,""bleedTick"":1142399.6777989056,""autoAttack"":200684.40871821836}"
101,穿云,cloudStrike,121.75,121.75,122.9675,2,2,3,15,15,0,0,0,0,0,2,2,,[],4070686.622506725,"{""cloudStrike"":2096631.6116937238,""breakArmy"":630970.9242958768,""bleedTick"":1142399.6777989056,""autoAttack"":200684.40871821836}"
102,龙吟,dragonRoar,122.9675,122.9675,124.185,3,3,5,15,15,0,0,0,0,0,2,1,,[],4993688.377399129,"{""dragonRoar"":3209533.180270538,""breakArmy"":630970.9242958768,""autoAttack"":200684.40871821836,""bleedTick"":952499.8641144952}"
103,龙牙,dragonFang,124.185,124.185,125.4025,5,5,2,15,16,0,0,0,0,0,2,1,,[],9591826.197994024,"{""dragonFang"":4526273.727421053,""dragonBlood"":1441078.46825112,""dragonFangStrain"":350256.68238678254,""breakGang"":1756238.1099026103,""breakArmy"":1261941.8485917535,""dragonFangDivine"":55352.95272248696,""autoAttack"":200684.40871821836}"
104,灭·正常,destroy,125.4025,125.4025,126.62,2,2,5,16,16,0,0,0,0,0,2,2,normal,[],6134184.638694813,"{""destroy"":1944182.7617787733,""breakArmy"":630970.9242958768,""destroyPoLouLan"":1865690.183716256,""destroyStrain"":350256.68238678254,""bleedTick"":1142399.6777989056,""autoAttack"":200684.40871821836}"
105,任驰骋→雷,ride,126.62,126.62,127.8375,5,5,5,16,22,0,1,0,0,0,2,2,,"[{""action"":""thunder"",""seconds"":127.775,""rageBefore"":5,""rageAfter"":null,""mounted"":true,""thunder"":null,""orange"":null,""ride"":true,""reason"":null,""dragonRideStacksAtStart"":22,""chargeReadyAtStart"":true,""breakArmyWindow"":null,""activeUntilSeconds"":145.775}]",1142399.6777989056,"{""bleedTick"":1142399.6777989056}"
106,龙牙,dragonFang,127.8375,127.8375,129.055,5,5,4,22,21,1,1,1,0,1,2,2,,[],24669095.75970411,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
107,龙牙,dragonFang,129.055,129.055,130.2725,4,4,3,21,20,1,1,1,0,1,2,2,,[],21868256.03422845,"{""dragonFang"":12322853.33923073,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725}"
108,龙牙,dragonFang,130.2725,130.2725,131.49,3,3,2,20,19,1,1,1,0,1,2,2,,[],23561280.928224973,"{""dragonFang"":11867810.538037783,""dragonBlood"":2578453.084587848,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
109,灭·破楼兰,destroy,131.49,131.49,132.7075,2,2,5,19,19,1,1,1,0,1,2,2,poLouLanBonus,[],11777921.948453154,"{""destroy"":3771466.384845193,""breakArmy"":1191465.7879272723,""destroyPoLouLan"":3645454.658075708,""destroyStrain"":564636.1597970189,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
110,龙牙,dragonFang,132.7075,132.7075,133.925,5,5,4,19,18,1,1,1,0,1,2,2,,[],24669095.75970411,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
111,龙牙,dragonFang,133.925,133.925,135.1425,4,4,3,18,17,1,1,1,0,1,2,2,,[],21868256.03422845,"{""dragonFang"":12322853.33923073,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725}"
112,龙牙,dragonFang,135.1425,135.1425,136.36,3,3,2,17,16,1,1,1,0,1,2,2,,[],23203314.2801531,"{""dragonFang"":11867810.538037783,""dragonBlood"":2578453.084587848,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091}"
113,断魂刺→龙牙,dragonFang,136.36,136.36,137.5775,2,5,4,16,15,1,1,1,0,1,2,2,,"[{""action"":""charge"",""seconds"":136.36,""rageBefore"":2,""rageAfter"":5,""mounted"":true,""thunder"":true,""orange"":false,""ride"":true,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null,""breakArmyWindow"":null,""activeUntilSeconds"":null}]",27325957.018804662,"{""charge"":273929.6832460043,""breakArmy"":4765863.151709089,""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
114,龙牙,dragonFang,137.5775,137.5775,138.795,4,4,3,15,14,1,1,1,0,1,2,2,,[],24115188.343964543,"{""dragonFang"":12322853.33923073,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
115,龙牙,dragonFang,138.795,138.795,140.0125,3,3,2,14,13,1,1,1,0,1,2,2,,[],21314348.61848888,"{""dragonFang"":11867810.538037783,""dragonBlood"":2578453.084587848,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725}"
116,灭·正常,destroy,140.0125,140.0125,141.23,2,2,5,13,13,1,1,1,0,1,2,2,normal,[],11777921.948453154,"{""destroy"":3771466.384845193,""breakArmy"":1191465.7879272723,""destroyPoLouLan"":3645454.658075708,""destroyStrain"":564636.1597970189,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
117,龙牙,dragonFang,141.23,141.23,142.4475,5,5,4,13,12,1,1,1,0,1,2,2,,[],24634645.20587954,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":323516.0942473035}"
118,龙牙,dragonFang,142.4475,142.4475,143.665,4,4,3,12,11,1,1,1,0,0,2,2,,[],19737977.400774077,"{""dragonFang"":10148871.111140365,""dragonBlood"":2228117.3213662216,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""bleedTick"":1841621.3007848305}"
119,龙牙,dragonFang,143.665,143.665,144.8825,3,3,2,11,10,1,1,1,0,0,2,2,,[],17762830.360529874,"{""dragonFang"":9774106.386427041,""dragonBlood"":2145840.212372868,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035}"
120,下马+突→龙牙,dragonFang,144.8825,144.8825,146.1,2,2,1,10,11,1,0,1,0,0,2,2,,"[{""action"":""dismount"",""seconds"":144.8825,""rageBefore"":null,""rageAfter"":null,""mounted"":true,""thunder"":true,""orange"":false,""ride"":false,""reason"":""free-search"",""dragonRideStacksAtStart"":10,""chargeReadyAtStart"":null,""breakArmyWindow"":null,""activeUntilSeconds"":null},{""action"":""dash"",""seconds"":144.8825,""rageBefore"":null,""rageAfter"":null,""mounted"":false,""thunder"":true,""orange"":false,""ride"":false,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null,""breakArmyWindow"":true,""activeUntilSeconds"":null}]",17342083.385875277,"{""dash"":102098.60932023358,""breakArmy"":3051496.3815415027,""dragonFang"":6476364.42679383,""dragonBlood"":2061949.8267325847,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""dragonFangDivine"":89232.49785178235,""bleedTick"":1841621.3007848305,""autoAttack"":323516.0942473035}"
121,任驰骋→断魂刺,ride,146.1,146.1,147.3175,1,1,4,11,17,0,1,0,0,0,2,2,,"[{""action"":""charge"",""seconds"":147.255,""rageBefore"":1,""rageAfter"":4,""mounted"":true,""thunder"":false,""orange"":false,""ride"":true,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null,""breakArmyWindow"":null,""activeUntilSeconds"":null}]",2991195.6961403256,"{""bleedTick"":1142399.6777989056,""autoAttack"":200684.40871821836,""charge"":169924.82751281673,""breakArmy"":1478186.7821103851}"
122,龙牙,dragonFang,147.3175,147.3175,148.535,4,4,1,17,16,1,1,0,0,1,2,2,,[],15010414.573543468,"{""dragonFang"":7686219.452934723,""dragonBlood"":1669942.0835644247,""dragonFangStrain"":350256.68238678254,""breakGang"":2142389.7769001666,""breakArmy"":1478186.7821103851,""dragonFangDivine"":67541.58614195058,""autoAttack"":222054.87265258387,""bleedTick"":1393823.3368524497}"
123,灭·正常,destroy,148.535,148.535,149.7525,1,1,4,16,16,1,1,0,0,1,2,2,normal,[],5739386.2608757345,"{""destroy"":2251605.8327679196,""breakArmy"":739093.3910551926,""destroyPoLouLan"":2176375.4820132554,""destroyStrain"":350256.68238678254,""autoAttack"":222054.87265258387}"
124,龙牙,dragonFang,149.7525,149.7525,150.97,4,4,1,16,15,1,1,0,0,1,2,2,,[],15010414.573543468,"{""dragonFang"":7686219.452934723,""dragonBlood"":1669942.0835644247,""dragonFangStrain"":350256.68238678254,""breakGang"":2142389.7769001666,""breakArmy"":1478186.7821103851,""dragonFangDivine"":67541.58614195058,""bleedTick"":1393823.3368524497,""autoAttack"":222054.87265258387}"
125,龙吟,dragonRoar,150.97,150.97,152.1875,1,1,3,15,15,1,1,0,0,1,2,1,,[],5501956.433818173,"{""dragonRoar"":3600756.3443855518,""breakArmy"":739093.3910551926,""bleedTick"":1162106.698377429}"
