行号,技能,开始秒,施展秒,结束秒,本行起始战意,主要技能前战意,主要技能后战意,龙驭前,龙驭后,施展前马上,结算后马上,激雷,橙武,驰骋,流血层数,流血品质,灭来源,非GCD动作JSON,本行伤害,伤害明细JSON
69,龙牙,82.79,82.79,84.0075,3,3,2,1,0,1,1,1,0,1,2,2,,[],21314348.61848888,"{""dragonFang"":11867810.538037783,""dragonBlood"":2578453.084587848,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725}"
70,灭·破楼兰,84.0075,84.0075,85.225,2,2,5,0,0,1,1,1,0,0,2,2,poLouLanBonus,[],11777921.948453154,"{""destroy"":3771466.384845193,""breakArmy"":1191465.7879272723,""destroyPoLouLan"":3645454.658075708,""destroyStrain"":564636.1597970189,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
71,龙牙,85.225,85.225,86.4425,5,5,4,0,0,1,1,1,0,1,2,2,,[],20667904.383835558,"{""dragonFang"":8811155.318379693,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":323516.0942473035}"
72,龙牙,86.4425,86.4425,87.66,4,4,3,0,0,1,1,1,0,0,2,2,,[],16587385.089504238,"{""dragonFang"":6998278.799870527,""dragonBlood"":2228117.3213662216,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""bleedTick"":1841621.3007848305}"
73,龙牙,87.66,87.66,88.8775,3,3,2,0,0,1,1,1,0,0,2,2,,[],14728579.152352858,"{""dragonFang"":6739855.178250027,""dragonBlood"":2145840.212372868,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035}"
74,龙牙,88.8775,88.8775,90.095,2,2,1,0,0,1,1,1,0,0,2,2,,[],16222819.316041209,"{""dragonFang"":6476364.42679383,""dragonBlood"":2061949.8267325847,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""bleedTick"":1841621.3007848305,""autoAttack"":323516.0942473035}"
75,下马→穿云,90.095,90.095,91.3125,1,1,2,0,0,1,0,0,0,0,2,2,,"[{""action"":""dismount"",""seconds"":90.095,""rageBefore"":null,""rageAfter"":null,""mounted"":null,""thunder"":null,""orange"":null,""reason"":""free-search"",""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null}]",3987025.620964514,"{""cloudStrike"":2012970.6101515128,""breakArmy"":630970.9242958768,""autoAttack"":200684.40871821836,""bleedTick"":1142399.6777989056}"
76,灭·正常,91.3125,91.3125,92.53,2,2,5,0,0,0,0,0,0,0,2,2,normal,[],6134184.638694813,"{""destroy"":1944182.7617787733,""breakArmy"":630970.9242958768,""destroyPoLouLan"":1865690.183716256,""destroyStrain"":350256.68238678254,""autoAttack"":200684.40871821836,""bleedTick"":1142399.6777989056}"
77,龙牙,92.53,92.53,93.7475,5,5,2,0,1,0,0,0,0,0,2,2,,[],9591826.197994024,"{""dragonFang"":4526273.727421053,""dragonBlood"":1441078.46825112,""dragonFangStrain"":350256.68238678254,""breakGang"":1756238.1099026103,""breakArmy"":1261941.8485917535,""dragonFangDivine"":55352.95272248696,""autoAttack"":200684.40871821836}"
78,龙吟,93.7475,93.7475,94.965,2,2,4,1,1,0,0,0,0,0,2,1,,[],4872846.905706299,"{""dragonRoar"":3088691.708577709,""breakArmy"":630970.9242958768,""bleedTick"":952499.8641144952,""autoAttack"":200684.40871821836}"
79,穿云,94.965,94.965,96.1825,4,4,5,1,1,0,0,0,0,0,2,1,,[],3849064.814983464,"{""cloudStrike"":2265594.0265730917,""breakArmy"":630970.9242958768,""bleedTick"":952499.8641144952}"
80,雷→龙牙,96.1825,96.1825,97.4,5,5,4,1,2,0,0,1,0,0,2,1,,"[{""action"":""thunder"",""seconds"":96.1825,""rageBefore"":5,""rageAfter"":null,""mounted"":false,""thunder"":null,""orange"":null,""reason"":null,""dragonRideStacksAtStart"":1,""chargeReadyAtStart"":false}]",16945471.276644893,"{""dragonFang"":7256702.421491029,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035,""bleedTick"":1535490.6630643231}"
81,龙牙,97.4,97.4,98.6175,4,4,3,2,3,0,0,1,0,0,2,1,,[],15069279.882966712,"{""dragonFang"":6998278.799870527,""dragonBlood"":2228117.3213662216,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035}"
82,龙牙,98.6175,98.6175,99.835,3,3,2,3,4,0,0,1,0,0,2,1,,[],16264069.815417182,"{""dragonFang"":6739855.178250027,""dragonBlood"":2145840.212372868,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""bleedTick"":1535490.6630643231,""autoAttack"":323516.0942473035}"
83,灭·正常,99.835,99.835,101.0525,2,2,5,4,4,0,0,1,0,0,2,2,normal,[],9863296.516708255,"{""destroy"":3121184.614067377,""breakArmy"":1017165.4605138343,""destroyPoLouLan"":2995172.887297891,""destroyStrain"":564636.1597970189,""bleedTick"":1841621.3007848305,""autoAttack"":323516.0942473035}"
84,龙牙,101.0525,101.0525,102.27,5,5,4,4,5,0,0,1,0,0,2,2,,[],17251601.9143654,"{""dragonFang"":7256702.421491029,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""bleedTick"":1841621.3007848305,""autoAttack"":323516.0942473035}"
85,龙牙,102.27,102.27,103.4875,4,4,3,5,6,0,0,1,0,0,2,2,,[],14745763.788719408,"{""dragonFang"":6998278.799870527,""dragonBlood"":2228117.3213662216,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235}"
86,龙牙,103.4875,103.4875,104.705,3,3,2,6,7,0,0,1,0,0,2,2,,[],16570200.453137688,"{""dragonFang"":6739855.178250027,""dragonBlood"":2145840.212372868,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035,""bleedTick"":1841621.3007848305}"
87,灭·破楼兰,104.705,104.705,105.9225,2,2,5,7,7,0,0,1,0,0,2,2,poLouLanBonus,[],9863296.516708255,"{""destroy"":3121184.614067377,""breakArmy"":1017165.4605138343,""destroyPoLouLan"":2995172.887297891,""destroyStrain"":564636.1597970189,""autoAttack"":323516.0942473035,""bleedTick"":1841621.3007848305}"
88,龙牙,105.9225,105.9225,107.14,5,5,4,7,8,0,0,1,0,0,2,2,,[],17251601.9143654,"{""dragonFang"":7256702.421491029,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035,""bleedTick"":1841621.3007848305}"
89,CW→龙牙,107.14,107.14,108.3575,4,5,5,8,9,0,0,1,1,0,2,2,,"[{""action"":""orange"",""seconds"":107.14,""rageBefore"":null,""rageAfter"":5,""mounted"":null,""thunder"":null,""orange"":null,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null}]",20857132.879101537,"{""dragonFang"":7256702.421491029,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""orangeExtra"":5447152.265520969,""autoAttack"":323516.0942473035}"
90,龙牙,108.3575,108.3575,109.575,5,5,5,9,10,0,0,1,1,0,2,2,,[],22698754.179886367,"{""dragonFang"":7256702.421491029,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""orangeExtra"":5447152.265520969,""bleedTick"":1841621.3007848305,""autoAttack"":323516.0942473035}"
91,龙牙,109.575,109.575,110.7925,5,5,5,10,11,0,0,1,1,0,2,2,,[],22698754.179886367,"{""dragonFang"":7256702.421491029,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""orangeExtra"":5447152.265520969,""bleedTick"":1841621.3007848305,""autoAttack"":323516.0942473035}"
92,龙牙,110.7925,110.7925,112.01,5,5,5,11,12,0,0,1,1,0,2,2,,[],22375238.085639063,"{""dragonFang"":7256702.421491029,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""orangeExtra"":5447152.265520969,""bleedTick"":1841621.3007848305}"
93,龙牙,112.01,112.01,113.2275,5,5,5,12,13,0,0,1,1,0,2,2,,[],20857132.879101537,"{""dragonFang"":7256702.421491029,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""orangeExtra"":5447152.265520969,""autoAttack"":323516.0942473035}"
94,龙牙,113.2275,113.2275,114.445,5,5,4,13,14,0,0,1,0,0,2,2,,[],17251601.9143654,"{""dragonFang"":7256702.421491029,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""bleedTick"":1841621.3007848305,""autoAttack"":323516.0942473035}"
95,龙牙,114.445,114.445,115.6625,4,4,1,14,15,0,0,0,0,0,2,2,,[],10521718.227508547,"{""dragonFang"":4365085.355465526,""dragonBlood"":1389759.1919222635,""dragonFangStrain"":350256.68238678254,""breakGang"":1756238.1099026103,""breakArmy"":1261941.8485917535,""dragonFangDivine"":55352.95272248696,""bleedTick"":1142399.6777989056,""autoAttack"":200684.40871821836}"
96,灭·正常,115.6625,115.6625,116.88,1,1,4,15,15,0,0,0,0,0,2,2,normal,[],5975842.641667494,"{""destroy"":1863380.6496111874,""breakArmy"":630970.9242958768,""destroyPoLouLan"":1788150.298856523,""destroyStrain"":350256.68238678254,""autoAttack"":200684.40871821836,""bleedTick"":1142399.6777989056}"
97,龙牙,116.88,116.88,118.0975,4,4,1,15,16,0,0,0,0,0,2,2,,[],9379318.54970964,"{""dragonFang"":4365085.355465526,""dragonBlood"":1389759.1919222635,""dragonFangStrain"":350256.68238678254,""breakGang"":1756238.1099026103,""breakArmy"":1261941.8485917535,""dragonFangDivine"":55352.95272248696,""autoAttack"":200684.40871821836}"
98,灭·破楼兰,118.0975,118.0975,119.315,1,1,4,16,16,0,0,0,0,0,2,2,poLouLanBonus,[],5975842.641667494,"{""destroy"":1863380.6496111874,""breakArmy"":630970.9242958768,""destroyPoLouLan"":1788150.298856523,""destroyStrain"":350256.68238678254,""bleedTick"":1142399.6777989056,""autoAttack"":200684.40871821836}"
99,穿云,119.315,119.315,120.5325,4,4,5,16,16,0,0,0,0,0,2,2,,[],4038964.6286678743,"{""cloudStrike"":2265594.0265730917,""breakArmy"":630970.9242958768,""bleedTick"":1142399.6777989056}"
100,龙牙,120.5325,120.5325,121.75,5,5,2,16,17,0,0,0,0,0,2,2,,[],10734225.87579293,"{""dragonFang"":4526273.727421053,""dragonBlood"":1441078.46825112,""dragonFangStrain"":350256.68238678254,""breakGang"":1756238.1099026103,""breakArmy"":1261941.8485917535,""dragonFangDivine"":55352.95272248696,""autoAttack"":200684.40871821836,""bleedTick"":1142399.6777989056}"
101,龙吟,121.75,121.75,122.9675,2,2,4,17,17,0,0,0,0,0,2,1,,[],3920347.041591804,"{""dragonRoar"":3088691.708577709,""breakArmy"":630970.9242958768,""autoAttack"":200684.40871821836}"
102,龙牙,122.9675,122.9675,124.185,4,4,1,17,18,0,0,0,0,0,2,1,,[],10331818.413824135,"{""dragonFang"":4365085.355465526,""dragonBlood"":1389759.1919222635,""dragonFangStrain"":350256.68238678254,""breakGang"":1756238.1099026103,""breakArmy"":1261941.8485917535,""dragonFangDivine"":55352.95272248696,""bleedTick"":952499.8641144952,""autoAttack"":200684.40871821836}"
103,穿云,124.185,124.185,125.4025,1,1,2,18,18,0,0,0,0,0,2,1,,[],3797125.807280103,"{""cloudStrike"":2012970.6101515128,""breakArmy"":630970.9242958768,""bleedTick"":952499.8641144952,""autoAttack"":200684.40871821836}"
104,灭·正常,125.4025,125.4025,126.62,2,2,5,18,18,0,0,0,0,0,2,2,normal,[],6134184.638694813,"{""destroy"":1944182.7617787733,""breakArmy"":630970.9242958768,""destroyPoLouLan"":1865690.183716256,""destroyStrain"":350256.68238678254,""bleedTick"":1142399.6777989056,""autoAttack"":200684.40871821836}"
105,任驰骋→雷,126.62,126.62,127.8375,5,5,5,18,24,0,1,0,0,0,2,2,,"[{""action"":""thunder"",""seconds"":127.775,""rageBefore"":5,""rageAfter"":null,""mounted"":true,""thunder"":null,""orange"":null,""reason"":null,""dragonRideStacksAtStart"":24,""chargeReadyAtStart"":true}]",0,{}
106,龙牙,127.8375,127.8375,129.055,5,5,4,24,23,1,1,1,0,1,2,2,,[],24669095.75970411,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
107,龙牙,129.055,129.055,130.2725,4,4,3,23,22,1,1,1,0,1,2,2,,[],24115188.343964543,"{""dragonFang"":12322853.33923073,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
108,龙牙,130.2725,130.2725,131.49,3,3,2,22,21,1,1,1,0,1,2,2,,[],23561280.928224973,"{""dragonFang"":11867810.538037783,""dragonBlood"":2578453.084587848,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
109,灭·破楼兰,131.49,131.49,132.7075,2,2,5,21,21,1,1,1,0,0,2,2,poLouLanBonus,[],9530989.638717063,"{""destroy"":3771466.384845193,""breakArmy"":1191465.7879272723,""destroyPoLouLan"":3645454.658075708,""destroyStrain"":564636.1597970189,""autoAttack"":357966.6480718725}"
110,龙牙,132.7075,132.7075,133.925,5,5,4,21,20,1,1,1,0,1,2,2,,[],24669095.75970411,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
111,龙牙,133.925,133.925,135.1425,4,4,3,20,19,1,1,1,0,1,2,2,,[],24115188.343964543,"{""dragonFang"":12322853.33923073,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
112,龙牙,135.1425,135.1425,136.36,3,3,2,19,18,1,1,1,0,1,2,2,,[],23203314.2801531,"{""dragonFang"":11867810.538037783,""dragonBlood"":2578453.084587848,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091}"
113,断魂刺→龙牙,136.36,136.36,137.5775,2,5,4,18,17,1,1,1,0,1,2,2,,"[{""action"":""charge"",""seconds"":136.36,""rageBefore"":2,""rageAfter"":5,""mounted"":true,""thunder"":true,""orange"":false,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null}]",25079024.70906857,"{""charge"":273929.6832460043,""breakArmy"":4765863.151709089,""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725}"
114,龙牙,137.5775,137.5775,138.795,4,4,3,17,16,1,1,1,0,1,2,2,,[],24115188.343964543,"{""dragonFang"":12322853.33923073,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
115,龙牙,138.795,138.795,140.0125,3,3,2,16,15,1,1,1,0,1,2,2,,[],23561280.928224973,"{""dragonFang"":11867810.538037783,""dragonBlood"":2578453.084587848,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
116,灭·正常,140.0125,140.0125,141.23,2,2,5,15,15,1,1,1,0,0,2,2,normal,[],11777921.948453154,"{""destroy"":3771466.384845193,""breakArmy"":1191465.7879272723,""destroyPoLouLan"":3645454.658075708,""destroyStrain"":564636.1597970189,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
117,龙牙,141.23,141.23,142.4475,5,5,4,15,14,1,1,1,0,1,2,2,,[],22387712.896143448,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":323516.0942473035}"
118,龙牙,142.4475,142.4475,143.665,4,4,3,14,13,1,1,1,0,0,2,2,,[],19737977.400774077,"{""dragonFang"":10148871.111140365,""dragonBlood"":2228117.3213662216,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""bleedTick"":1841621.3007848305}"
119,龙牙,143.665,143.665,144.8825,3,3,2,13,12,1,1,1,0,0,2,2,,[],19604451.661314704,"{""dragonFang"":9774106.386427041,""dragonBlood"":2145840.212372868,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035,""bleedTick"":1841621.3007848305}"
120,龙牙,144.8825,144.8825,146.1,2,2,1,12,11,1,1,1,0,0,2,2,,[],18439226.600039616,"{""dragonFang"":9391993.333778162,""dragonBlood"":2061949.8267325847,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035,""bleedTick"":1142399.6777989056}"
121,下马→任驰骋→断魂刺,146.1,146.1,147.3175,1,1,4,11,17,1,1,0,0,0,2,2,,"[{""action"":""dismount"",""seconds"":146.1,""rageBefore"":null,""rageAfter"":null,""mounted"":null,""thunder"":null,""orange"":null,""reason"":""refresh-ride"",""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null},{""action"":""charge"",""seconds"":147.255,""rageBefore"":1,""rageAfter"":4,""mounted"":true,""thunder"":false,""orange"":false,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null}]",1848796.0183414202,"{""autoAttack"":200684.40871821836,""charge"":169924.82751281673,""breakArmy"":1478186.7821103851}"
122,龙牙,147.3175,147.3175,148.535,4,4,1,17,16,1,1,0,0,1,2,2,,[],15010414.573543468,"{""dragonFang"":7686219.452934723,""dragonBlood"":1669942.0835644247,""dragonFangStrain"":350256.68238678254,""breakGang"":2142389.7769001666,""breakArmy"":1478186.7821103851,""dragonFangDivine"":67541.58614195058,""bleedTick"":1393823.3368524497,""autoAttack"":222054.87265258387}"
123,灭·正常,148.535,148.535,149.7525,1,1,4,16,16,1,1,0,0,0,2,2,normal,[],7133209.597728184,"{""destroy"":2251605.8327679196,""breakArmy"":739093.3910551926,""destroyPoLouLan"":2176375.4820132554,""destroyStrain"":350256.68238678254,""bleedTick"":1393823.3368524497,""autoAttack"":222054.87265258387}"
124,龙牙,149.7525,149.7525,150.97,4,4,1,16,15,1,1,0,0,1,2,2,,[],15010414.573543468,"{""dragonFang"":7686219.452934723,""dragonBlood"":1669942.0835644247,""dragonFangStrain"":350256.68238678254,""breakGang"":2142389.7769001666,""breakArmy"":1478186.7821103851,""dragonFangDivine"":67541.58614195058,""bleedTick"":1393823.3368524497,""autoAttack"":222054.87265258387}"
125,龙吟,150.97,150.97,152.1875,1,1,3,15,15,1,1,0,0,0,2,1,,[],4339849.735440744,"{""dragonRoar"":3600756.3443855518,""breakArmy"":739093.3910551926}"
126,龙牙,152.1875,152.1875,153.405,3,3,0,15,14,1,1,0,0,1,2,1,,[],14433205.3907055,"{""dragonFang"":7402392.425689955,""dragonBlood"":1608276.5664462459,""dragonFangStrain"":350256.68238678254,""breakGang"":2142389.7769001666,""breakArmy"":1478186.7821103851,""dragonFangDivine"":67541.58614195058,""bleedTick"":1162106.698377429,""autoAttack"":222054.87265258387}"
127,灭·破楼兰,153.405,153.405,154.6225,0,0,3,14,14,1,1,0,0,0,2,2,poLouLanBonus,[],6941198.2430178225,"{""destroy"":2153969.0417588134,""breakArmy"":739093.3910551926,""destroyPoLouLan"":2082000.9183120006,""destroyStrain"":350256.68238678254,""autoAttack"":222054.87265258387,""bleedTick"":1393823.3368524497}"
128,雷→龙牙,154.6225,154.6225,155.84,3,3,2,14,13,1,1,1,0,1,2,2,,"[{""action"":""thunder"",""seconds"":154.6225,""rageBefore"":3,""rageAfter"":null,""mounted"":true,""thunder"":null,""orange"":null,""reason"":null,""dragonRideStacksAtStart"":14,""chargeReadyAtStart"":false}]",23561280.928224973,"{""dragonFang"":11867810.538037783,""dragonBlood"":2578453.084587848,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
129,龙牙,155.84,155.84,157.0575,2,2,1,13,12,1,1,1,0,1,2,2,,[],20749580.273028933,"{""dragonFang"":11403845.32897831,""dragonBlood"":2477649.94818737,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725}"
130,龙牙,157.0575,157.0575,158.275,1,1,0,12,11,1,1,1,0,1,2,2,,[],22442605.167025454,"{""dragonFang"":10948802.527785365,""dragonBlood"":2378785.3336407477,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
131,CW→龙牙,158.275,158.275,159.4925,0,5,5,11,10,1,1,1,1,1,2,2,,"[{""action"":""orange"",""seconds"":158.275,""rageBefore"":null,""rageAfter"":5,""mounted"":null,""thunder"":null,""orange"":null,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null}]",30956330.68607285,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""orangeExtra"":6645201.574440612,""bleedTick"":2246932.309736091}"
132,龙牙,159.4925,159.4925,160.71,5,5,5,10,9,1,1,1,1,1,2,2,,[],31314297.334144723,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""orangeExtra"":6645201.574440612,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
133,龙牙,160.71,160.71,161.9275,5,5,5,9,8,1,1,1,1,1,2,2,,[],29067365.02440863,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""orangeExtra"":6645201.574440612,""autoAttack"":357966.6480718725}"
134,龙牙,161.9275,161.9275,163.145,5,5,5,8,7,1,1,1,1,0,2,2,,[],25965687.59424903,"{""dragonFang"":10523635.835853688,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""orangeExtra"":5447152.265520969,""bleedTick"":1841621.3007848305,""autoAttack"":323516.0942473035}"
135,龙牙,163.145,163.145,164.3625,5,5,5,7,6,1,1,1,1,0,2,2,,[],25965687.59424903,"{""dragonFang"":10523635.835853688,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""orangeExtra"":5447152.265520969,""bleedTick"":1841621.3007848305,""autoAttack"":323516.0942473035}"
136,龙牙,164.3625,164.3625,165.58,5,5,4,6,5,1,1,1,0,0,2,2,,[],20518535.32872806,"{""dragonFang"":10523635.835853688,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035,""bleedTick"":1841621.3007848305}"
137,龙牙,165.58,165.58,166.7975,4,4,3,5,4,1,1,1,0,0,2,2,,[],18219872.19423655,"{""dragonFang"":10148871.111140365,""dragonBlood"":2228117.3213662216,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035}"
138,灭·正常,166.7975,166.7975,168.015,3,3,5,4,4,1,1,1,0,0,2,2,normal,[],9798966.491403362,"{""destroy"":3253447.5778302182,""breakArmy"":1017165.4605138343,""destroyPoLouLan"":3122095.99247746,""destroyStrain"":564636.1597970189,""bleedTick"":1841621.3007848305}"
139,龙牙,168.015,168.015,169.2325,5,5,4,4,3,1,1,1,0,0,2,2,,[],20518535.32872806,"{""dragonFang"":10523635.835853688,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035,""bleedTick"":1841621.3007848305}"
140,龙牙,169.2325,169.2325,170.45,4,4,3,3,2,1,1,1,0,0,2,2,,[],20061493.49502138,"{""dragonFang"":10148871.111140365,""dragonBlood"":2228117.3213662216,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035,""bleedTick"":1841621.3007848305}"
