行号,技能,主要技能ID,开始秒,施展秒,结束秒,本行起始战意,主要技能前战意,主要技能后战意,龙驭前,龙驭后,施展前马上,结算后马上,激雷,橙武,驰骋,流血层数,流血品质,灭来源,非GCD动作JSON,本行伤害,伤害明细JSON
61,龙牙,dragonFang,73.05,73.05,74.2675,4,4,3,18,17,1,1,1,0,1,2,2,,[],24115188.343964543,"{""dragonFang"":12322853.33923073,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
62,龙牙,dragonFang,74.2675,74.2675,75.485,3,3,2,17,16,1,1,1,0,1,2,2,,[],21314348.61848888,"{""dragonFang"":11867810.538037783,""dragonBlood"":2578453.084587848,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725}"
63,断魂刺→龙牙,dragonFang,75.485,75.485,76.7025,2,5,4,16,15,1,1,1,0,1,2,2,,"[{""action"":""charge"",""seconds"":75.485,""rageBefore"":2,""rageAfter"":5,""mounted"":true,""thunder"":true,""orange"":false,""ride"":true,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null,""breakArmyWindow"":null,""activeUntilSeconds"":null}]",27325957.018804662,"{""charge"":273929.6832460043,""breakArmy"":4765863.151709089,""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
64,龙牙,dragonFang,76.7025,76.7025,77.92,4,4,3,15,14,1,1,1,0,1,2,2,,[],24115188.343964543,"{""dragonFang"":12322853.33923073,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
65,龙牙,dragonFang,77.92,77.92,79.1375,3,3,2,14,13,1,1,1,0,1,2,2,,[],23561280.928224973,"{""dragonFang"":11867810.538037783,""dragonBlood"":2578453.084587848,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
66,灭·正常,destroy,79.1375,79.1375,80.355,2,2,5,13,13,1,1,1,0,1,2,2,normal,[],9173022.99064519,"{""destroy"":3771466.384845193,""breakArmy"":1191465.7879272723,""destroyPoLouLan"":3645454.658075708,""destroyStrain"":564636.1597970189}"
67,龙牙,dragonFang,80.355,80.355,81.5725,5,5,4,13,12,1,1,1,0,1,2,2,,[],24669095.75970411,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
68,龙牙,dragonFang,81.5725,81.5725,82.79,4,4,3,12,11,1,1,1,0,1,2,2,,[],24115188.343964543,"{""dragonFang"":12322853.33923073,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
69,龙牙,dragonFang,82.79,82.79,84.0075,3,3,2,11,10,1,1,1,0,1,2,2,,[],23561280.928224973,"{""dragonFang"":11867810.538037783,""dragonBlood"":2578453.084587848,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
70,灭·破楼兰,destroy,84.0075,84.0075,85.225,2,2,5,10,10,1,1,1,0,1,2,2,poLouLanBonus,[],9530989.638717063,"{""destroy"":3771466.384845193,""breakArmy"":1191465.7879272723,""destroyPoLouLan"":3645454.658075708,""destroyStrain"":564636.1597970189,""autoAttack"":357966.6480718725}"
71,龙牙,dragonFang,85.225,85.225,86.4425,5,5,4,10,9,1,1,1,0,1,2,2,,[],24634645.20587954,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":323516.0942473035}"
72,龙牙,dragonFang,86.4425,86.4425,87.66,4,4,3,9,8,1,1,1,0,0,2,2,,[],19737977.400774077,"{""dragonFang"":10148871.111140365,""dragonBlood"":2228117.3213662216,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""bleedTick"":1841621.3007848305}"
73,龙牙,dragonFang,87.66,87.66,88.8775,3,3,2,8,7,1,1,1,0,0,2,2,,[],19604451.661314704,"{""dragonFang"":9774106.386427041,""dragonBlood"":2145840.212372868,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035,""bleedTick"":1841621.3007848305}"
74,龙牙,dragonFang,88.8775,88.8775,90.095,2,2,1,7,6,1,1,1,0,0,2,2,,[],17296826.92224071,"{""dragonFang"":9391993.333778162,""dragonBlood"":2061949.8267325847,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035}"
75,龙吟,dragonRoar,90.095,90.095,91.3125,1,1,3,6,6,1,1,0,0,0,2,1,,[],4754329.308469101,"{""dragonRoar"":2970174.1113405107,""breakArmy"":630970.9242958768,""bleedTick"":952499.8641144952,""autoAttack"":200684.40871821836}"
76,灭·正常,destroy,91.3125,91.3125,92.53,3,3,5,6,6,1,1,0,0,0,2,2,normal,[],6295631.38076188,"{""destroy"":2026569.2290868987,""breakArmy"":630970.9242958768,""destroyPoLouLan"":1944750.4584751984,""destroyStrain"":350256.68238678254,""bleedTick"":1142399.6777989056,""autoAttack"":200684.40871821836}"
77,龙牙,dragonFang,92.53,92.53,93.7475,5,5,2,6,5,1,1,0,0,0,2,2,,[],12771933.090969792,"{""dragonFang"":6563980.942597914,""dragonBlood"":1441078.46825112,""dragonFangStrain"":350256.68238678254,""breakGang"":1756238.1099026103,""breakArmy"":1261941.8485917535,""dragonFangDivine"":55352.95272248696,""bleedTick"":1142399.6777989056,""autoAttack"":200684.40871821836}"
78,灭·破楼兰,destroy,93.7475,93.7475,94.965,2,2,5,5,5,1,1,0,0,0,2,2,poLouLanBonus,[],4991784.960895907,"{""destroy"":1944182.7617787733,""breakArmy"":630970.9242958768,""destroyPoLouLan"":1865690.183716256,""destroyStrain"":350256.68238678254,""autoAttack"":200684.40871821836}"
79,雷→龙牙,dragonFang,94.965,94.965,96.1825,5,5,4,5,4,1,1,1,0,0,2,2,,"[{""action"":""thunder"",""seconds"":94.965,""rageBefore"":5,""rageAfter"":null,""mounted"":true,""thunder"":null,""orange"":null,""ride"":false,""reason"":null,""dragonRideStacksAtStart"":5,""chargeReadyAtStart"":false,""breakArmyWindow"":null,""activeUntilSeconds"":112.965}]",20195019.234480757,"{""dragonFang"":10523635.835853688,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""bleedTick"":1841621.3007848305}"
80,龙牙,dragonFang,96.1825,96.1825,97.4,4,4,3,4,3,1,1,1,0,0,2,2,,[],20061493.49502138,"{""dragonFang"":10148871.111140365,""dragonBlood"":2228117.3213662216,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035,""bleedTick"":1841621.3007848305}"
81,龙牙,dragonFang,97.4,97.4,98.6175,3,3,2,3,2,1,1,1,0,0,2,2,,[],19604451.661314704,"{""dragonFang"":9774106.386427041,""dragonBlood"":2145840.212372868,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035,""bleedTick"":1841621.3007848305}"
82,断魂刺→龙牙,dragonFang,98.6175,98.6175,99.835,2,5,4,2,1,1,1,1,0,0,2,2,,"[{""action"":""charge"",""seconds"":98.6175,""rageBefore"":2,""rageAfter"":5,""mounted"":true,""thunder"":true,""orange"":false,""ride"":false,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null,""breakArmyWindow"":null,""activeUntilSeconds"":null}]",20962768.339675423,"{""charge"":251523.390704524,""breakArmy"":4068661.842055337,""dragonFang"":10523635.835853688,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035}"
83,龙牙,dragonFang,99.835,99.835,101.0525,4,4,3,1,0,1,1,1,0,0,2,2,,[],20061493.49502138,"{""dragonFang"":10148871.111140365,""dragonBlood"":2228117.3213662216,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""bleedTick"":1841621.3007848305,""autoAttack"":323516.0942473035}"
84,下马+突→龙牙,dragonFang,101.0525,101.0525,102.27,3,3,2,0,1,1,0,1,0,0,2,2,,"[{""action"":""dismount"",""seconds"":101.0525,""rageBefore"":null,""rageAfter"":null,""mounted"":true,""thunder"":true,""orange"":false,""ride"":false,""reason"":""free-search"",""dragonRideStacksAtStart"":0,""chargeReadyAtStart"":null,""breakArmyWindow"":null,""activeUntilSeconds"":null},{""action"":""dash"",""seconds"":101.0525,""rageBefore"":null,""rageAfter"":null,""mounted"":false,""thunder"":true,""orange"":false,""ride"":false,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null,""breakArmyWindow"":true,""activeUntilSeconds"":null}]",17689464.522971757,"{""dash"":102098.60932023358,""breakArmy"":3051496.3815415027,""dragonFang"":6739855.178250027,""dragonBlood"":2145840.212372868,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""dragonFangDivine"":89232.49785178235,""bleedTick"":1841621.3007848305,""autoAttack"":323516.0942473035}"
85,灭·正常,destroy,102.27,102.27,103.4875,2,2,5,1,1,0,0,1,0,0,2,2,normal,[],9539780.42246095,"{""destroy"":3121184.614067377,""breakArmy"":1017165.4605138343,""destroyPoLouLan"":2995172.887297891,""destroyStrain"":564636.1597970189,""bleedTick"":1841621.3007848305}"
86,龙牙,dragonFang,103.4875,103.4875,104.705,5,5,4,1,2,0,0,1,0,0,2,2,,[],15409980.61358057,"{""dragonFang"":7256702.421491029,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035}"
87,龙牙,dragonFang,104.705,104.705,105.9225,4,4,3,2,3,0,0,1,0,0,2,2,,[],16910901.183751542,"{""dragonFang"":6998278.799870527,""dragonBlood"":2228117.3213662216,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""bleedTick"":1841621.3007848305,""autoAttack"":323516.0942473035}"
88,龙牙,dragonFang,105.9225,105.9225,107.14,3,3,2,3,4,0,0,1,0,0,2,2,,[],16570200.453137688,"{""dragonFang"":6739855.178250027,""dragonBlood"":2145840.212372868,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""bleedTick"":1841621.3007848305,""autoAttack"":323516.0942473035}"
89,CW→龙牙,dragonFang,107.14,107.14,108.3575,2,5,5,4,5,0,0,1,1,0,2,2,,"[{""action"":""orange"",""seconds"":107.14,""rageBefore"":null,""rageAfter"":5,""mounted"":null,""thunder"":null,""orange"":null,""ride"":null,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null,""breakArmyWindow"":null,""activeUntilSeconds"":null}]",22698754.179886367,"{""dragonFang"":7256702.421491029,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""orangeExtra"":5447152.265520969,""autoAttack"":323516.0942473035,""bleedTick"":1841621.3007848305}"
90,龙牙,dragonFang,108.3575,108.3575,109.575,5,5,5,5,6,0,0,1,1,0,2,2,,[],20857132.879101537,"{""dragonFang"":7256702.421491029,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""orangeExtra"":5447152.265520969,""autoAttack"":323516.0942473035}"
91,龙牙,dragonFang,109.575,109.575,110.7925,5,5,5,6,7,0,0,1,1,0,2,2,,[],22698754.179886367,"{""dragonFang"":7256702.421491029,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""orangeExtra"":5447152.265520969,""bleedTick"":1841621.3007848305,""autoAttack"":323516.0942473035}"
92,龙牙,dragonFang,110.7925,110.7925,112.01,5,5,5,7,8,0,0,1,1,0,2,2,,[],22375238.085639063,"{""dragonFang"":7256702.421491029,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""orangeExtra"":5447152.265520969,""bleedTick"":1841621.3007848305}"
93,龙牙,dragonFang,112.01,112.01,113.2275,5,5,5,8,9,0,0,1,1,0,2,2,,[],22698754.179886367,"{""dragonFang"":7256702.421491029,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""orangeExtra"":5447152.265520969,""autoAttack"":323516.0942473035,""bleedTick"":1841621.3007848305}"
94,龙牙,dragonFang,113.2275,113.2275,114.445,5,5,2,9,10,0,0,0,0,0,2,2,,[],9591826.197994024,"{""dragonFang"":4526273.727421053,""dragonBlood"":1441078.46825112,""dragonFangStrain"":350256.68238678254,""breakGang"":1756238.1099026103,""breakArmy"":1261941.8485917535,""dragonFangDivine"":55352.95272248696,""autoAttack"":200684.40871821836}"
95,灭·正常,destroy,114.445,114.445,115.6625,2,2,5,10,10,0,0,0,0,0,2,2,normal,[],6134184.638694813,"{""destroy"":1944182.7617787733,""breakArmy"":630970.9242958768,""destroyPoLouLan"":1865690.183716256,""destroyStrain"":350256.68238678254,""bleedTick"":1142399.6777989056,""autoAttack"":200684.40871821836}"
96,龙牙,dragonFang,115.6625,115.6625,116.88,5,5,2,10,11,0,0,0,0,0,2,2,,[],10734225.87579293,"{""dragonFang"":4526273.727421053,""dragonBlood"":1441078.46825112,""dragonFangStrain"":350256.68238678254,""breakGang"":1756238.1099026103,""breakArmy"":1261941.8485917535,""dragonFangDivine"":55352.95272248696,""bleedTick"":1142399.6777989056,""autoAttack"":200684.40871821836}"
97,灭·破楼兰,destroy,116.88,116.88,118.0975,2,2,5,11,11,0,0,0,0,0,2,2,poLouLanBonus,[],6134184.638694813,"{""destroy"":1944182.7617787733,""breakArmy"":630970.9242958768,""destroyPoLouLan"":1865690.183716256,""destroyStrain"":350256.68238678254,""bleedTick"":1142399.6777989056,""autoAttack"":200684.40871821836}"
98,穿云→突,cloudStrike,118.0975,118.0975,119.315,5,5,5,11,11,0,0,0,0,0,2,2,,"[{""action"":""dash"",""seconds"":119.2525,""rageBefore"":null,""rageAfter"":null,""mounted"":false,""thunder"":false,""orange"":false,""ride"":false,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null,""breakArmyWindow"":true,""activeUntilSeconds"":null}]",3875215.3804107336,"{""cloudStrike"":2349255.028115303,""breakArmy"":1261941.8485917535,""dash"":63334.09498545909,""autoAttack"":200684.40871821836}"
99,龙牙,dragonFang,119.315,119.315,120.5325,5,5,2,11,12,0,0,0,0,0,2,2,,[],10533541.46707471,"{""dragonFang"":4526273.727421053,""dragonBlood"":1441078.46825112,""dragonFangStrain"":350256.68238678254,""breakGang"":1756238.1099026103,""breakArmy"":1261941.8485917535,""dragonFangDivine"":55352.95272248696,""bleedTick"":1142399.6777989056}"
100,穿云,cloudStrike,120.5325,120.5325,121.75,2,2,3,12,12,0,0,0,0,0,2,2,,[],4070686.6225067247,"{""cloudStrike"":2096631.6116937238,""breakArmy"":630970.9242958768,""autoAttack"":200684.40871821836,""bleedTick"":1142399.6777989056}"
101,龙吟,dragonRoar,121.75,121.75,122.9675,3,3,5,12,12,0,0,0,0,0,2,1,,[],4993688.377399129,"{""dragonRoar"":3209533.180270538,""breakArmy"":630970.9242958768,""autoAttack"":200684.40871821836,""bleedTick"":952499.8641144952}"
102,龙牙,dragonFang,122.9675,122.9675,124.185,5,5,2,12,13,0,0,0,0,0,2,1,,[],9591826.197994024,"{""dragonFang"":4526273.727421053,""dragonBlood"":1441078.46825112,""dragonFangStrain"":350256.68238678254,""breakGang"":1756238.1099026103,""breakArmy"":1261941.8485917535,""dragonFangDivine"":55352.95272248696,""autoAttack"":200684.40871821836}"
103,灭·正常,destroy,124.185,124.185,125.4025,2,2,5,13,13,0,0,0,0,0,2,2,normal,[],6134184.638694813,"{""destroy"":1944182.7617787733,""breakArmy"":630970.9242958768,""destroyPoLouLan"":1865690.183716256,""destroyStrain"":350256.68238678254,""bleedTick"":1142399.6777989056,""autoAttack"":200684.40871821836}"
104,龙牙,dragonFang,125.4025,125.4025,126.62,5,5,2,13,14,0,0,0,0,0,2,2,,[],10734225.87579293,"{""dragonFang"":4526273.727421053,""dragonBlood"":1441078.46825112,""dragonFangStrain"":350256.68238678254,""breakGang"":1756238.1099026103,""breakArmy"":1261941.8485917535,""dragonFangDivine"":55352.95272248696,""bleedTick"":1142399.6777989056,""autoAttack"":200684.40871821836}"
105,灭·破楼兰,destroy,126.62,126.62,127.8375,2,2,5,14,14,0,0,0,0,0,2,2,poLouLanBonus,[],5933500.229976594,"{""destroy"":1944182.7617787733,""breakArmy"":630970.9242958768,""destroyPoLouLan"":1865690.183716256,""destroyStrain"":350256.68238678254,""bleedTick"":1142399.6777989056}"
106,任驰骋,ride,127.8375,127.8375,129.055,5,5,5,14,20,0,1,0,0,0,2,2,,[],200684.40871821836,"{""autoAttack"":200684.40871821836}"
107,雷→龙牙,dragonFang,129.055,129.055,130.2725,5,5,4,20,19,1,1,1,0,1,2,2,,"[{""action"":""thunder"",""seconds"":129.055,""rageBefore"":5,""rageAfter"":null,""mounted"":true,""thunder"":null,""orange"":null,""ride"":true,""reason"":null,""dragonRideStacksAtStart"":20,""chargeReadyAtStart"":true,""breakArmyWindow"":null,""activeUntilSeconds"":147.055}]",24669095.75970411,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
108,龙牙,dragonFang,130.2725,130.2725,131.49,4,4,3,19,18,1,1,1,0,1,2,2,,[],24115188.343964543,"{""dragonFang"":12322853.33923073,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
109,龙牙,dragonFang,131.49,131.49,132.7075,3,3,2,18,17,1,1,1,0,1,2,2,,[],23561280.928224973,"{""dragonFang"":11867810.538037783,""dragonBlood"":2578453.084587848,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
110,断魂刺→龙牙,dragonFang,132.7075,132.7075,133.925,2,5,4,17,16,1,1,1,0,1,2,2,,"[{""action"":""charge"",""seconds"":132.7075,""rageBefore"":2,""rageAfter"":5,""mounted"":true,""thunder"":true,""orange"":false,""ride"":true,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null,""breakArmyWindow"":null,""activeUntilSeconds"":null}]",25079024.70906857,"{""charge"":273929.6832460043,""breakArmy"":4765863.151709089,""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725}"
111,龙牙,dragonFang,133.925,133.925,135.1425,4,4,3,16,15,1,1,1,0,1,2,2,,[],24115188.343964543,"{""dragonFang"":12322853.33923073,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
112,龙牙,dragonFang,135.1425,135.1425,136.36,3,3,2,15,14,1,1,1,0,1,2,2,,[],23203314.2801531,"{""dragonFang"":11867810.538037783,""dragonBlood"":2578453.084587848,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091}"
113,灭·正常,destroy,136.36,136.36,137.5775,2,2,5,14,14,1,1,1,0,1,2,2,normal,[],11777921.948453154,"{""destroy"":3771466.384845193,""breakArmy"":1191465.7879272723,""destroyPoLouLan"":3645454.658075708,""destroyStrain"":564636.1597970189,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
114,龙牙,dragonFang,137.5775,137.5775,138.795,5,5,4,14,13,1,1,1,0,1,2,2,,[],22422163.449968018,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725}"
115,龙牙,dragonFang,138.795,138.795,140.0125,4,4,3,13,12,1,1,1,0,1,2,2,,[],24115188.343964543,"{""dragonFang"":12322853.33923073,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
116,龙牙,dragonFang,140.0125,140.0125,141.23,3,3,2,12,11,1,1,1,0,1,2,2,,[],23561280.928224973,"{""dragonFang"":11867810.538037783,""dragonBlood"":2578453.084587848,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
117,灭·破楼兰,destroy,141.23,141.23,142.4475,2,2,5,11,11,1,1,1,0,1,2,2,poLouLanBonus,[],11777921.948453154,"{""destroy"":3771466.384845193,""breakArmy"":1191465.7879272723,""destroyPoLouLan"":3645454.658075708,""destroyStrain"":564636.1597970189,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
118,龙牙,dragonFang,142.4475,142.4475,143.665,5,5,4,11,10,1,1,1,0,1,2,2,,[],22064196.801896144,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347}"
119,龙牙,dragonFang,143.665,143.665,144.8825,4,4,3,10,9,1,1,1,0,0,2,2,,[],20061493.49502138,"{""dragonFang"":10148871.111140365,""dragonBlood"":2228117.3213662216,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""bleedTick"":1841621.3007848305,""autoAttack"":323516.0942473035}"
120,龙牙,dragonFang,144.8825,144.8825,146.1,3,3,2,9,8,1,1,1,0,0,2,2,,[],19604451.661314704,"{""dragonFang"":9774106.386427041,""dragonBlood"":2145840.212372868,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035,""bleedTick"":1841621.3007848305}"
121,下马+突→龙牙,dragonFang,146.1,146.1,147.3175,2,2,1,8,9,1,0,1,0,0,2,2,,"[{""action"":""dismount"",""seconds"":146.1,""rageBefore"":null,""rageAfter"":null,""mounted"":true,""thunder"":true,""orange"":false,""ride"":false,""reason"":""free-search"",""dragonRideStacksAtStart"":8,""chargeReadyAtStart"":null,""breakArmyWindow"":null,""activeUntilSeconds"":null},{""action"":""dash"",""seconds"":146.1,""rageBefore"":null,""rageAfter"":null,""mounted"":false,""thunder"":true,""orange"":false,""ride"":false,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null,""breakArmyWindow"":true,""activeUntilSeconds"":null}]",17342083.385875277,"{""dash"":102098.60932023358,""breakArmy"":3051496.3815415027,""dragonFang"":6476364.42679383,""dragonBlood"":2061949.8267325847,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035,""bleedTick"":1841621.3007848305}"
122,龙吟,dragonRoar,147.3175,147.3175,148.535,1,1,3,9,9,0,0,0,0,0,2,1,,[],3801829.444354606,"{""dragonRoar"":2970174.1113405107,""breakArmy"":630970.9242958768,""autoAttack"":200684.40871821836}"
123,灭·正常,destroy,148.535,148.535,149.7525,3,3,5,9,9,0,0,0,0,0,2,2,normal,[],6295631.38076188,"{""destroy"":2026569.2290868987,""breakArmy"":630970.9242958768,""destroyPoLouLan"":1944750.4584751984,""destroyStrain"":350256.68238678254,""bleedTick"":1142399.6777989056,""autoAttack"":200684.40871821836}"
124,龙牙,dragonFang,149.7525,149.7525,150.97,5,5,2,9,10,0,0,0,0,0,2,2,,[],10734225.87579293,"{""dragonFang"":4526273.727421053,""dragonBlood"":1441078.46825112,""dragonFangStrain"":350256.68238678254,""breakGang"":1756238.1099026103,""breakArmy"":1261941.8485917535,""dragonFangDivine"":55352.95272248696,""bleedTick"":1142399.6777989056,""autoAttack"":200684.40871821836}"
125,任驰骋→断魂刺,ride,150.97,150.97,152.1875,2,2,5,10,16,0,1,0,0,0,2,2,,"[{""action"":""charge"",""seconds"":152.125,""rageBefore"":2,""rageAfter"":5,""mounted"":true,""thunder"":false,""orange"":false,""ride"":true,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null,""breakArmyWindow"":null,""activeUntilSeconds"":null}]",3041934.946475652,"{""bleedTick"":1393823.3368524497,""charge"":169924.82751281673,""breakArmy"":1478186.7821103851}"
